theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.85825 92840 8988.722515 81173 0 780 0.009609106476 268297 3.305249282 0.506 0 
12.858 92840 8988.722515 81194 3 699 0.008609010518 268435 3.306094046 0.506 0 
12.85775 92841 8988.722515 81158 1 695 0.008563542719 268540 3.308854334 0.506 0 
12.857625 92842 8988.722515 81184 -1 771 0.009496945211 268535 3.307733051 0.506 0 
12.857375 92842 8988.722515 81153 4 804 0.009907212303 268877 3.313210849 0.505 0 
12.85725 92843 8988.722515 81198 2 873 0.01075149634 268801 3.310438681 0.505 0 
12.857 92844 8988.722515 81174 3 706 0.008697366152 268875 3.312329071 0.506 0 
12.85675 92844 8988.722515 81166 -1 794 0.009782421211 268338 3.306039475 0.505 0 
12.856625 92845 8988.722515 81167 0 804 0.009905503468 268461 3.307514138 0.506 0 
12.856375 92846 8988.722515 81136 4 826 0.01018043778 268807 3.313042299 0.505 0 
12.85625 92846 8988.722515 81128 2 882 0.0108717089 268930 3.31488512 0.506 0 
12.856 92847 8988.722515 81167 0 847 0.01043527542 268709 3.310569566 0.506 0 
12.85575 92848 8988.722515 81154 1 833 0.01026443552 268922 3.313724524 0.506 0 
12.855625 92849 8988.722515 81182 1 922 0.01135719741 268889 3.312175113 0.506 0 
12.855375 92849 8988.722515 81149 1 971 0.01196564345 268882 3.313435779 0.506 0 
12.85525 92850 8988.722515 81143 0 999 0.01231159804 269211 3.317735356 0.506 0 
12.855 92851 8988.722515 81128 4 927 0.01142638793 269112 3.317128488 0.505 0 
12.85475 92851 8988.722515 81151 -1 929 0.01144779485 269099 3.316028145 0.506 0 
12.854625 92852 8988.722515 81173 -4 1005 0.01238096411 269401 3.318849864 0.506 0 
12.854375 92853 8988.722515 81159 0 1043 0.01285131655 269287 3.318017718 0.506 0 
12.85425 92853 8988.722515 81172 -4 930 0.01145715271 269085 3.314997782 0.506 0 
12.854 92854 8988.722515 81126 -4 1072 0.01321401277 269323 3.319811158 0.506 0 
12.85375 92855 8988.722515 81133 -1 1117 0.01376751753 269214 3.318181258 0.505 0 
12.853625 92855 8988.722515 81198 0 1153 0.01419985714 269756 3.322200054 0.506 0 
12.853375 92856 8988.722515 81128 -1 1077 0.01327531802 269447 3.321257766 0.506 0 
