theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.843375 94643 8998.009217 78817 1 3539 0.04490148065 868934 11.02470279 0.506 0 
12.84325 94644 8998.009217 78879 -4 3515 0.04456192396 869965 11.02910787 0.505 0 
12.843 94644 8998.009217 78896 2 3560 0.04512269317 869750 11.02400629 0.506 0 
12.84275 94645 8998.009217 78857 3 3548 0.04499283513 869436 11.0254765 0.506 0 
12.842625 94646 8998.009217 78846 1 3597 0.04562057682 869525 11.02814347 0.506 0 
12.842375 94646 8998.009217 78808 -1 3630 0.04606131357 869000 11.02679931 0.506 0 
12.84225 94647 8998.009217 78829 0 3572 0.04531327303 869539 11.03069936 0.506 0 
12.842 94648 8998.009217 78810 0 3643 0.04622509834 868788 11.02382946 0.505 0 
12.84175 94649 8998.009217 78832 2 3721 0.047201644 868963 11.0229729 0.505 0 
12.841625 94649 8998.009217 78843 3 3742 0.04746141065 869323 11.02600104 0.506 0 
12.841375 94650 8998.009217 78796 0 3804 0.04827656226 869191 11.03090258 0.506 0 
12.84125 94651 8998.009217 78815 -2 3822 0.04849330711 868869 11.02415784 0.506 0 
12.841 94651 8998.009217 78791 0 3793 0.04814001599 870055 11.04256831 0.506 0 
12.84075 94652 8998.009217 78812 5 3859 0.04896462468 869541 11.0331041 0.505 0 
12.840625 94653 8998.009217 78828 -3 3935 0.04991881057 869819 11.03439133 0.506 0 
12.840375 94653 8998.009217 78818 1 3871 0.04911314674 869177 11.02764597 0.506 0 
12.84025 94654 8998.009217 78850 0 3962 0.05024730501 869499 11.02725428 0.506 0 
12.84 94655 8998.009217 78812 3 4115 0.05221286099 869715 11.03531188 0.505 0 
12.83975 94655 8998.009217 78815 -2 4162 0.05280720675 869073 11.02674618 0.506 0 
12.839625 94656 8998.009217 78835 2 4243 0.05382127228 869550 11.02999937 0.506 0 
12.839375 94657 8998.009217 78813 2 4270 0.05417887912 868915 11.02502125 0.506 0 
12.83925 94657 8998.009217 78800 1 4271 0.05420050761 869730 11.03718274 0.505 0 
12.839 94658 8998.009217 78799 1 4515 0.05729768144 868893 11.02670085 0.505 0 
12.83875 94659 8998.009217 78815 -2 4700 0.05963331853 869447 11.03149147 0.506 0 
12.838625 94659 8998.009217 78844 0 4783 0.06066409619 869903 11.03321749 0.506 0 
12.838375 94660 8998.009217 78832 3 4783 0.06067333063 870317 11.04014867 0.505 0 
12.83825 94661 8998.009217 78862 1 5017 0.06361745834 869310 11.02317973 0.505 0 
12.838 94661 8998.009217 78810 5 5345 0.06782134247 868992 11.02641797 0.505 0 
12.83775 94662 8998.009217 78809 4 5749 0.07294852111 869256 11.02990775 0.505 0 
12.837625 94663 8998.009217 78781 1 5956 0.07560198525 869791 11.04061893 0.506 0 
12.837375 94663 8998.009217 78817 -5 6602 0.08376365505 869470 11.03150336 0.506 0 
12.83725 94664 8998.009217 78781 -2 6869 0.08719107399 869466 11.03649357 0.505 0 
12.837 94665 8998.009217 78788 -2 7890 0.1001421536 869031 11.02999188 0.506 0 
12.83675 94665 8998.009217 78770 -4 8807 0.1118065253 869154 11.03407389 0.506 0 
12.836625 94666 8998.009217 78781 1 9295 0.117985301 869223 11.03340907 0.505 0 
12.836375 94667 8998.009217 78769 -1 10644 0.1351293021 869069 11.03313486 0.506 0 
12.83625 94667 8998.009217 78783 1 11495 0.1459071119 869125 11.03188505 0.506 0 
12.836 94668 8998.009217 78767 0 13030 0.1654246068 868807 11.03008874 0.506 0 
12.83575 94669 8998.009217 78772 0 15317 0.1944472655 868831 11.02969329 0.506 0 
12.835625 94670 8998.009217 78707 1 16356 0.2078087082 868481 11.03435527 0.505 0 
12.835375 94670 8998.009217 78804 1 19611 0.248857926 869389 11.03229531 0.506 0 
12.83525 94671 8998.009217 78776 1 21817 0.2769498324 869196 11.03376663 0.505 0 
12.835 94672 8998.009217 78754 2 27149 0.3447316962 868983 11.0341443 0.505 0 
12.83475 94672 8998.009217 78776 1 35427 0.4497181883 869216 11.03402051 0.505 0 
12.834625 94673 8998.009217 78740 -4 41238 0.5237236474 868886 11.03487427 0.506 0 
12.834375 94674 8998.009217 78771 -2 57815 0.7339630067 868745 11.02874154 0.506 0 
12.83425 94674 8998.009217 78745 -1 69960 0.8884373611 868739 11.03230681 0.506 0 
12.834 94675 8998.009217 78736 1 100992 1.282666125 868889 11.03547297 0.505 0 
12.83375 94676 8998.009217 78710 4 144778 1.839385084 868200 11.03036463 0.505 0 
12.833625 94676 8998.009217 78745 0 168804 2.143678964 868696 11.03176075 0.505 0 
12.833375 94677 8998.009217 78745 -1 216861 2.753965331 868069 11.02379834 0.506 0 
12.83325 94678 8998.009217 78751 2 239881 3.046069256 867968 11.02167592 0.505 0 
12.833 94678 8998.009217 78722 7 275763 3.502997891 867607 11.02115038 0.506 0 
12.83275 94679 8998.009217 78733 1 295192 3.749279209 867781 11.02182058 0.505 0 
12.832625 94680 8998.009217 78721 3 296906 3.771623836 867400 11.01866084 0.505 0 
12.832375 94680 8998.009217 78732 2 285974 3.632246101 867455 11.01781995 0.506 0 
12.83225 94681 8998.009217 78699 0 273402 3.474021271 867483 11.02279572 0.506 0 
12.832 94682 8998.009217 78739 0 239224 3.038189461 867144 11.01289069 0.505 0 
12.83175 94682 8998.009217 78718 -1 194826 2.474986661 867554 11.02103712 0.505 0 
12.831625 94683 8998.009217 78737 -3 170766 2.168815169 867651 11.01960959 0.506 0 
12.831375 94684 8998.009217 78715 0 123420 1.567934955 868383 11.03198882 0.506 0 
12.83125 94684 8998.009217 78706 -5 101976 1.295657256 867776 11.02553808 0.506 0 
12.831 94685 8998.009217 78729 -1 67801 0.8611947313 867910 11.0240191 0.505 0 
12.83075 94686 8998.009217 78688 0 44777 0.5690448353 868288 11.0345669 0.505 0 
12.830625 94686 8998.009217 78718 3 37047 0.4706293351 868036 11.02716024 0.506 0 
12.830375 94687 8998.009217 78713 -3 26629 0.3383049814 867902 11.02615832 0.506 0 
12.83025 94688 8998.009217 78717 -2 23064 0.292998971 867946 11.02615699 0.506 0 
12.83 94689 8998.009217 78707 1 18080 0.229712732 868440 11.03383435 0.506 0 
12.82975 94689 8998.009217 78694 1 14973 0.1902686355 868165 11.03216255 0.506 0 
12.829625 94690 8998.009217 78702 0 13592 0.1727020914 868461 11.03480217 0.505 0 
12.829375 94691 8998.009217 78714 1 11526 0.1464288437 868403 11.03238306 0.506 0 
12.82925 94691 8998.009217 78678 3 10732 0.1364040774 868469 11.03826991 0.506 0 
12.829 94692 8998.009217 78709 4 9437 0.1198973434 867805 11.02548628 0.506 0 
12.82875 94693 8998.009217 78662 0 8381 0.106544456 868268 11.03795988 0.505 0 
12.828625 94693 8998.009217 78665 1 7910 0.1005529778 867511 11.02791585 0.506 0 
12.828375 94694 8998.009217 78623 0 7201 0.09158897524 867404 11.03244598 0.506 0 
12.82825 94695 8998.009217 78696 5 6880 0.08742502796 868084 11.0308529 0.505 0 
12.828 94695 8998.009217 78675 2 6426 0.08167778837 868594 11.04027963 0.506 0 
12.82775 94696 8998.009217 78696 1 5904 0.07502287283 868369 11.03447443 0.506 0 
12.827625 94697 8998.009217 78639 0 5717 0.07269929679 867667 11.0335457 0.506 0 
12.827375 94697 8998.009217 78668 -1 5445 0.06921492856 867974 11.03338079 0.506 0 
12.82725 94698 8998.009217 78695 2 5216 0.06628121228 867844 11.02794333 0.505 0 
12.827 94699 8998.009217 78671 -1 5060 0.06431849093 867750 11.03011275 0.505 0 
12.82675 94699 8998.009217 78632 1 4735 0.06021721437 868119 11.04027622 0.506 0 
12.826625 94700 8998.009217 78690 7 4582 0.05822849155 867944 11.02991486 0.505 0 
12.826375 94701 8998.009217 78652 0 4530 0.0575954839 867313 11.02722118 0.506 0 
12.82625 94701 8998.009217 78650 0 4548 0.05782581055 867860 11.03445645 0.505 0 
12.826 94702 8998.009217 78632 2 4364 0.05549903347 868020 11.03901719 0.506 0 
12.82575 94703 8998.009217 78651 1 4120 0.05238331363 867505 11.02980255 0.506 0 
12.825625 94703 8998.009217 78631 3 4179 0.05314697766 868055 11.0396027 0.506 0 
12.825375 94704 8998.009217 78624 0 4118 0.05237586488 867654 11.03548535 0.505 0 
12.82525 94705 8998.009217 78650 -3 4100 0.05212968849 867655 11.03184997 0.505 0 
12.825 94705 8998.009217 78650 3 3964 0.05040050858 867555 11.03057851 0.505 0 
12.82475 94706 8998.009217 78619 -5 3920 0.04986072069 868243 11.04367901 0.506 0 
12.824625 94707 8998.009217 78610 0 3854 0.04902684137 867439 11.03471569 0.506 0 
12.824375 94708 8998.009217 78617 -1 3888 0.04945495249 867583 11.03556483 0.506 0 
12.82425 94708 8998.009217 78609 0 3844 0.04890025315 867332 11.03349489 0.505 0 
12.824 94709 8998.009217 78581 3 3761 0.04786144233 867542 11.04009875 0.506 0 
12.82375 94710 8998.009217 78584 1 3667 0.04666344294 867552 11.03980454 0.506 0 
12.823625 94710 8998.009217 78548 0 3724 0.04741050059 867408 11.04303101 0.505 0 
12.823375 94711 8998.009217 78586 1 3774 0.04802382104 867422 11.03786934 0.506 0 

