theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.844 94568 8997.621878 79167 3 3376 0.04264403097 861971 10.88800889 0.506 0 
12.84375 94569 8997.621878 79171 -3 3374 0.04261661467 862499 10.8941279 0.506 0 
12.843625 94569 8997.621878 79194 3 3601 0.04547061646 862369 10.88932242 0.506 0 
12.843375 94570 8997.621878 79155 -4 3592 0.04537931906 862259 10.89329796 0.505 0 
12.84325 94571 8997.621878 79154 4 3521 0.04448290674 862459 10.8959623 0.506 0 
12.843 94571 8997.621878 79180 1 3567 0.04504925486 862950 10.8985855 0.506 0 
12.84275 94572 8997.621878 79160 -2 3570 0.04509853461 862563 10.89645023 0.506 0 
12.842625 94573 8997.621878 79118 0 3610 0.04562804924 862816 10.90543239 0.506 0 
12.842375 94573 8997.621878 79168 3 3628 0.0458265966 862490 10.89442704 0.507 0 
12.84225 94574 8997.621878 79150 -3 3702 0.04677195199 862254 10.89392293 0.505 0 
12.842 94575 8997.621878 79128 2 3697 0.04672176726 862428 10.89915074 0.506 0 
12.84175 94575 8997.621878 79108 4 3823 0.04832633868 861986 10.89631896 0.505 0 
12.841625 94576 8997.621878 79136 2 3752 0.04741205014 862416 10.89789729 0.506 0 
12.841375 94577 8997.621878 79152 -3 3820 0.04826157267 862468 10.89635132 0.506 0 
12.84125 94577 8997.621878 79136 3 3778 0.04774059846 862680 10.90123332 0.505 0 
12.841 94578 8997.621878 79165 1 3921 0.04952946378 862906 10.90009474 0.505 0 
12.84075 94579 8997.621878 79181 -5 3988 0.05036561801 862895 10.89775325 0.506 0 
12.840625 94579 8997.621878 79135 1 3972 0.05019270866 862406 10.89790864 0.506 0 
12.840375 94580 8997.621878 79171 -3 3984 0.05032145609 862593 10.8953152 0.505 0 
12.84025 94581 8997.621878 79173 -7 4123 0.05207583393 861958 10.88701956 0.506 0 
12.84 94581 8997.621878 79129 0 4258 0.0538108658 862406 10.89873498 0.506 0 
12.83975 94582 8997.621878 79136 2 4398 0.05557521229 863120 10.90679337 0.505 0 
12.839625 94583 8997.621878 79110 1 4345 0.05492352421 863224 10.91169258 0.506 0 
12.839375 94584 8997.621878 79131 0 4504 0.05691827476 862842 10.90396937 0.505 0 
12.83925 94584 8997.621878 79144 1 4671 0.05901900334 862801 10.90166026 0.506 0 
12.839 94585 8997.621878 79138 -2 4867 0.06150016427 862598 10.89992166 0.506 0 
12.83875 94586 8997.621878 79140 0 5135 0.0648850139 862971 10.90435936 0.505 0 
12.838625 94586 8997.621878 79114 4 5258 0.0664610562 862585 10.90306393 0.506 0 
12.838375 94587 8997.621878 79129 0 5763 0.07283044143 862602 10.90121195 0.506 0 
12.83825 94588 8997.621878 79117 1 6076 0.07679765411 862454 10.90099473 0.505 0 
12.838 94588 8997.621878 79108 6 6788 0.08580674521 862967 10.90871972 0.506 0 
12.83775 94589 8997.621878 79110 3 7588 0.09591707749 862137 10.89795222 0.506 0 
12.837625 94590 8997.621878 79087 1 7995 0.1010912034 862865 10.9103266 0.505 0 
12.837375 94590 8997.621878 79116 1 9205 0.116348147 862700 10.90424187 0.505 0 
12.83725 94591 8997.621878 79099 -2 9922 0.1254377426 862330 10.90190774 0.506 0 
12.837 94592 8997.621878 79155 1 11252 0.142151475 862723 10.89915988 0.505 0 
12.83675 94592 8997.621878 79092 4 13103 0.1656678299 862394 10.90368179 0.505 0 
12.836625 94593 8997.621878 79093 -1 14090 0.1781447157 862185 10.90090147 0.506 0 
12.836375 94594 8997.621878 79067 0 16639 0.2104417772 861791 10.89950295 0.506 0 
12.83625 94594 8997.621878 79104 -4 18263 0.2308732807 863065 10.91051021 0.505 0 
12.836 94595 8997.621878 79063 -3 21756 0.2751729633 862460 10.90851599 0.506 0 
12.83575 94596 8997.621878 79085 3 27121 0.342934817 862936 10.91150028 0.506 0 
12.835625 94596 8997.621878 79074 -1 30623 0.387270152 862355 10.90567064 0.506 0 
12.835375 94597 8997.621878 79033 4 40292 0.5098123569 862523 10.91345387 0.506 0 
12.83525 94598 8997.621878 79102 1 47064 0.5949786352 862873 10.90835883 0.506 0 
12.835 94598 8997.621878 79096 -1 65879 0.8328992617 861795 10.8955573 0.505 0 
12.83475 94599 8997.621878 79060 4 95333 1.205831014 862033 10.90352897 0.506 0 
12.834625 94600 8997.621878 79008 2 114803 1.453055387 862511 10.91675527 0.505 0 
12.834375 94600 8997.621878 79028 -5 160791 2.034607987 861703 10.90376828 0.506 0 
12.83425 94601 8997.621878 79048 4 186831 2.363513308 862225 10.9076131 0.506 0 
12.834 94602 8997.621878 79054 -1 231789 2.9320338 861919 10.90291446 0.506 0 
12.83375 94603 8997.621878 79050 -1 272348 3.445262492 861265 10.89519292 0.506 0 
12.833625 94603 8997.621878 79048 -1 285830 3.615904261 861305 10.8959746 0.506 0 
12.833375 94604 8997.621878 79051 0 297593 3.764569708 861489 10.8978887 0.506 0 
12.83325 94605 8997.621878 79069 1 295557 3.737963045 860702 10.88545448 0.505 0 
12.833 94605 8997.621878 79079 -1 277962 3.514991338 860802 10.88534251 0.506 0 
12.83275 94606 8997.621878 79065 3 246194 3.113817745 860762 10.88676405 0.506 0 
12.832625 94607 8997.621878 79092 0 225933 2.856584737 860933 10.88520963 0.506 0 
