theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.856375 93063 8989.882278 80190 1 1174 0.01464022946 370144 4.615837386 0.505 0 
12.85625 93064 8989.882278 80186 0 1233 0.01537674906 370243 4.617302272 0.505 0 
12.856 93065 8989.882278 80143 3 1138 0.01419961818 369970 4.616373233 0.506 0 
12.85575 93065 8989.882278 80182 2 1182 0.01474146317 370549 4.621348931 0.506 0 
12.855625 93066 8989.882278 80175 5 1185 0.01478016838 370649 4.622999688 0.505 0 
12.855375 93067 8989.882278 80184 0 1313 0.01637483787 370426 4.619699691 0.506 0 
12.85525 93067 8989.882278 80148 -1 1341 0.01673154664 370803 4.626478515 0.505 0 
12.855 93068 8989.882278 80128 0 1213 0.01513827875 370639 4.625586562 0.505 0 
12.85475 93069 8989.882278 80134 -1 1301 0.01623530586 371027 4.630082112 0.505 0 
12.854625 93069 8989.882278 80165 -4 1223 0.01525603443 370857 4.626171022 0.505 0 
12.854375 93070 8989.882278 80144 1 1409 0.01758085446 370765 4.626235277 0.506 0 
12.85425 93071 8989.882278 80193 2 1420 0.01770728118 371146 4.628159565 0.506 0 
12.854 93071 8989.882278 80157 -6 1298 0.0161932208 371327 4.632496226 0.506 0 
12.85375 93072 8989.882278 80094 0 1381 0.01724224037 370892 4.630708917 0.506 0 
12.853625 93073 8989.882278 80122 0 1461 0.01823469209 370692 4.626594443 0.506 0 
12.853375 93073 8989.882278 80100 1 1578 0.01970037453 371431 4.637091136 0.506 0 
12.85325 93074 8989.882278 80108 -1 1525 0.01903680032 371395 4.636178659 0.505 0 
12.853 93075 8989.882278 80068 -3 1497 0.01869660788 371414 4.638732078 0.506 0 
12.85275 93075 8989.882278 80129 1 1591 0.01985548303 371917 4.641478117 0.506 0 
12.852625 93076 8989.882278 80078 -2 1631 0.02036764155 371794 4.642898174 0.506 0 
12.852375 93077 8989.882278 80069 -1 1677 0.02094443542 371515 4.639935556 0.506 0 
12.85225 93078 8989.882278 80137 -2 1758 0.02193743215 371779 4.639292711 0.506 0 
12.852 93078 8989.882278 80067 1 1689 0.02109483308 371409 4.638727566 0.505 0 
12.85175 93079 8989.882278 80048 2 1902 0.02376074355 371592 4.642114731 0.506 0 
12.851625 93080 8989.882278 80032 1 2048 0.02558976409 371471 4.641530888 0.506 0 
12.851375 93080 8989.882278 80085 0 1972 0.02462383717 371910 4.643940813 0.506 0 
12.85125 93081 8989.882278 80078 -1 2096 0.02617447988 371964 4.645021104 0.506 0 
12.851 93082 8989.882278 80099 1 2307 0.0288018577 371613 4.639421216 0.506 0 
12.85075 93082 8989.882278 80114 3 2594 0.03237886012 371978 4.64310857 0.506 0 
12.850625 93083 8989.882278 80087 1 2722 0.03398803801 371854 4.643125601 0.506 0 
12.850375 93084 8989.882278 80099 -2 2990 0.0373288056 372126 4.645825791 0.505 0 
12.85025 93084 8989.882278 80080 -2 3116 0.03891108891 371923 4.644393107 0.505 0 
12.85 93085 8989.882278 80074 -1 3767 0.04704398431 371983 4.645490421 0.506 0 
12.84975 93086 8989.882278 80072 3 4486 0.05602457788 372036 4.646268358 0.505 0 
12.849625 93086 8989.882278 80064 0 4865 0.06076388889 372140 4.648031575 0.506 0 
12.849375 93087 8989.882278 80069 -1 5845 0.0729995379 372365 4.650551399 0.506 0 
12.84925 93088 8989.882278 80001 0 6502 0.08127398408 372433 4.655354308 0.506 0 
12.849 93088 8989.882278 80040 5 8175 0.1021364318 371862 4.645952024 0.505 0 
12.84875 93089 8989.882278 80066 1 10549 0.1317538031 372387 4.651000425 0.505 0 
12.848625 93090 8989.882278 80027 -1 12094 0.1511239957 371949 4.64779387 0.506 0 
12.848375 93090 8989.882278 80078 3 16762 0.2093209121 371848 4.643572517 0.506 0 
12.84825 93091 8989.882278 80006 -3 20126 0.2515561333 372158 4.651626128 0.506 0 
12.848 93092 8989.882278 80015 3 29454 0.3681059801 372271 4.652515153 0.506 0 
12.84775 93092 8989.882278 80039 0 46825 0.5850272992 372131 4.649370932 0.506 0 
12.847625 93093 8989.882278 80008 1 60206 0.75249975 371954 4.648960104 0.506 0 
12.847375 93094 8989.882278 80045 -3 102680 1.282778437 371681 4.643400587 0.506 0 
12.84725 93094 8989.882278 80044 -4 135614 1.694243166 371837 4.645407526 0.506 0 
12.847 93095 8989.882278 80006 0 222362 2.779316551 371493 4.643314251 0.506 0 
12.84675 93096 8989.882278 80005 0 327349 4.091606775 371274 4.64063496 0.505 0 
12.846625 93096 8989.882278 80013 6 383903 4.798007824 371194 4.639171135 0.505 0 
12.846375 93097 8989.882278 79996 1 497258 6.216035802 371222 4.640507025 0.505 0 
12.84625 93098 8989.882278 80013 -4 548743 6.858173047 371121 4.638258783 0.506 0 
12.846 93098 8989.882278 80030 -2 616653 7.705273023 371522 4.642284143 0.507 0 
12.84575 93099 8989.882278 79993 -3 643794 8.048129211 371875 4.648844274 0.506 0 
12.845625 93100 8989.882278 79941 -1 641040 8.018913949 372520 4.659936703 0.506 0 
12.845375 93100 8989.882278 80020 2 599933 7.497288178 372348 4.653186703 0.506 0 
12.84525 93101 8989.882278 80000 0 561186 7.014825 372745 4.6593125 0.506 0 
12.845 93102 8989.882278 79952 -2 464615 5.811174205 373087 4.666387332 0.506 0 
12.84475 93102 8989.882278 80003 0 346710 4.333712486 373509 4.668687424 0.505 0 
12.844625 93103 8989.882278 80013 -1 287061 3.587679502 373506 4.668066439 0.506 0 
12.844375 93104 8989.882278 79985 -2 182004 2.275476652 374247 4.678964806 0.506 0 
12.84425 93104 8989.882278 79957 -5 140701 1.759708343 373590 4.672386408 0.505 0 
12.844 93105 8989.882278 79994 -5 86408 1.080181014 374122 4.676875766 0.506 0 
12.84375 93106 8989.882278 79938 -4 56146 0.7023693362 374366 4.683204483 0.505 0 
12.843625 93106 8989.882278 79998 1 46994 0.587439686 373944 4.67441686 0.506 0 
12.843375 93107 8989.882278 79972 3 34420 0.4304006402 373944 4.675936578 0.506 0 
12.84325 93108 8989.882278 79966 -2 29802 0.3726833904 374347 4.681327064 0.506 0 
12.843 93108 8989.882278 79962 -2 23300 0.2913884095 373839 4.675208224 0.505 0 
12.84275 93109 8989.882278 79980 -1 18547 0.2318954739 374440 4.681670418 0.506 0 
12.842625 93110 8989.882278 79969 2 16840 0.2105816004 373817 4.674523878 0.506 0 
12.842375 93111 8989.882278 79976 -1 13562 0.1695758728 373868 4.674752426 0.506 0 
12.84225 93111 8989.882278 79971 1 12418 0.1552812895 373481 4.670205449 0.506 0 
12.842 93112 8989.882278 79976 0 10350 0.1294138241 374180 4.678653596 0.506 0 
12.84175 93113 8989.882278 79976 -4 8624 0.1078323497 373989 4.67626538 0.506 0 
12.841625 93113 8989.882278 79943 -2 7818 0.09779467871 373940 4.677582778 0.505 0 
12.841375 93114 8989.882278 79902 4 6605 0.08266376311 373865 4.679044329 0.506 0 
12.84125 93115 8989.882278 79931 0 6064 0.07586543394 373676 4.674982172 0.506 0 
12.841 93115 8989.882278 79931 -1 5016 0.06275412543 373620 4.674281568 0.506 0 
12.84075 93116 8989.882278 79912 1 4334 0.05423465812 373963 4.679685154 0.506 0 
12.840625 93117 8989.882278 79906 -2 3940 0.04930793683 373787 4.677833955 0.506 0 
12.840375 93117 8989.882278 79925 3 3336 0.04173913043 374009 4.679499531 0.506 0 
12.84025 93118 8989.882278 79894 -2 3043 0.03808796656 373939 4.680439082 0.506 0 
12.84 93119 8989.882278 79889 -3 2729 0.03415989686 373666 4.677314774 0.505 0 
12.83975 93119 8989.882278 79895 -2 2366 0.0296138682 374451 4.68678891 0.506 0 
12.839625 93120 8989.882278 79862 2 2204 0.02759760587 373944 4.6823771 0.506 0 
12.839375 93121 8989.882278 79875 2 2045 0.02560250391 373747 4.67914867 0.505 0 
12.83925 93121 8989.882278 79877 0 2013 0.02520124692 373929 4.681310014 0.506 0 
12.839 93122 8989.882278 79933 -2 1872 0.02341961393 374473 4.68483605 0.506 0 
12.83875 93123 8989.882278 79859 -4 1768 0.02213902002 374390 4.688137843 0.506 0 
12.838625 93123 8989.882278 79891 4 1647 0.02061558874 374192 4.683781653 0.506 0 
12.838375 93124 8989.882278 79864 1 1578 0.0197585896 374789 4.692840329 0.506 0 
12.83825 93125 8989.882278 79840 -3 1622 0.02031563126 374375 4.689065631 0.505 0 
12.838 93125 8989.882278 79857 -1 1663 0.02082472419 374301 4.687140764 0.506 0 
12.83775 93126 8989.882278 79842 2 1506 0.01886225295 374409 4.689374014 0.505 0 
12.837625 93127 8989.882278 79852 0 1468 0.01838401042 374372 4.688323398 0.505 0 
12.837375 93127 8989.882278 79866 1 1474 0.01845591366 374903 4.694150202 0.506 0 
12.83725 93128 8989.882278 79856 4 1488 0.01863354037 375072 4.696854338 0.506 0 
12.837 93129 8989.882278 79828 -1 1502 0.01881545322 374856 4.695795961 0.505 0 
12.83675 93129 8989.882278 79879 4 1375 0.01721353547 375055 4.695289125 0.506 0 
12.836625 93130 8989.882278 79799 0 1332 0.0166919385 374613 4.694457324 0.505 0 
12.836375 93131 8989.882278 79839 -1 1405 0.01759791581 375252 4.700108969 0.506 0 

