theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.842 94793 8998.783997 78211 1 3718 0.04753807009 871230 11.13948166 0.506 0 
12.84175 94794 8998.783997 78155 -2 3820 0.04887723114 871189 11.14693878 0.506 0 
12.841625 94795 8998.783997 78233 4 3697 0.04725627293 871263 11.13677093 0.505 0 
12.841375 94795 8998.783997 78196 0 3636 0.04649854212 870669 11.13444422 0.505 0 
12.84125 94796 8998.783997 78241 1 3794 0.04849120027 871783 11.14227835 0.506 0 
12.841 94797 8998.783997 78217 -6 3836 0.04904304691 871131 11.13736144 0.506 0 
12.84075 94798 8998.783997 78216 -1 3856 0.04929937609 871503 11.1422599 0.506 0 
12.840625 94798 8998.783997 78219 5 3833 0.04900343906 871300 11.13923727 0.506 0 
12.840375 94799 8998.783997 78174 0 3829 0.04898047944 871113 11.14325735 0.505 0 
12.84025 94800 8998.783997 78186 2 3989 0.05101936408 871817 11.15055125 0.506 0 
12.84 94800 8998.783997 78191 -2 4045 0.05173229656 871296 11.14317505 0.506 0 
12.83975 94801 8998.783997 78208 0 3948 0.05048076923 871376 11.14177578 0.506 0 
12.839625 94802 8998.783997 78168 -2 3948 0.05050660117 871303 11.14654334 0.505 0 
12.839375 94802 8998.783997 78182 4 4105 0.05250569185 871248 11.14384385 0.506 0 
12.83925 94803 8998.783997 78210 0 4199 0.0536887866 871612 11.14450837 0.505 0 
12.839 94804 8998.783997 78177 0 4230 0.05410798572 871103 11.14270182 0.505 0 
12.83875 94804 8998.783997 78190 0 4313 0.05516050646 870857 11.13770303 0.506 0 
12.838625 94805 8998.783997 78182 -2 4272 0.05464173339 871627 11.14869151 0.505 0 
12.838375 94806 8998.783997 78205 3 4524 0.05784796369 871355 11.14193466 0.506 0 
12.83825 94806 8998.783997 78190 0 4567 0.05840900371 871222 11.14237115 0.506 0 
12.838 94807 8998.783997 78190 -1 4618 0.05906126103 871598 11.14717995 0.505 0 
12.83775 94808 8998.783997 78194 1 4641 0.05935237998 870557 11.13329667 0.506 0 
12.837625 94808 8998.783997 78191 -7 4811 0.06152882045 870588 11.1341203 0.505 0 
12.837375 94809 8998.783997 78139 3 4989 0.06384775848 871578 11.15419957 0.506 0 
12.83725 94810 8998.783997 78152 4 5072 0.06489917085 871458 11.15080868 0.505 0 
12.837 94810 8998.783997 78172 -2 5271 0.06742823517 871318 11.14616487 0.506 0 
12.83675 94811 8998.783997 78176 2 5469 0.06995753172 871217 11.1443026 0.506 0 
12.836625 94812 8998.783997 78194 -2 5887 0.07528710643 871097 11.14020257 0.506 0 
12.836375 94812 8998.783997 78180 -2 6209 0.07941928882 871378 11.14579176 0.505 0 
12.83625 94813 8998.783997 78189 0 6532 0.08354116308 871336 11.14397166 0.505 0 
12.836 94814 8998.783997 78178 3 7028 0.08989741359 871547 11.14823863 0.506 0 
12.83575 94814 8998.783997 78137 0 7762 0.09933834163 871162 11.14916109 0.506 0 
12.835625 94815 8998.783997 78157 0 8271 0.1058254539 870943 11.14350602 0.505 0 
12.835375 94816 8998.783997 78156 -1 9141 0.1169583909 870212 11.13429551 0.505 0 
12.83525 94816 8998.783997 78173 7 9722 0.12436519 870813 11.13956225 0.505 0 
12.835 94817 8998.783997 78127 0 10909 0.1396316254 870967 11.14809221 0.506 0 
12.83475 94818 8998.783997 78135 -1 12501 0.159992321 870703 11.14357202 0.505 0 
12.834625 94818 8998.783997 78157 2 13440 0.1719615645 871087 11.14534847 0.505 0 
12.834375 94819 8998.783997 78122 -2 15667 0.2005453009 870488 11.14267428 0.506 0 
12.83425 94820 8998.783997 78102 4 17106 0.2190212799 870871 11.15043149 0.506 0 
12.834 94821 8998.783997 78102 -2 20960 0.2683670072 870855 11.15022663 0.505 0 
12.83375 94821 8998.783997 78106 -1 26825 0.3434435255 870903 11.15027015 0.506 0 
12.833625 94822 8998.783997 78135 0 30626 0.3919626288 870718 11.143764 0.506 0 
12.833375 94823 8998.783997 78147 3 42240 0.5405197896 870585 11.14035088 0.506 0 
12.83325 94823 8998.783997 78126 6 50488 0.6462381282 870677 11.14452295 0.506 0 
12.833 94824 8998.783997 78118 -2 73842 0.9452622955 870872 11.14816048 0.506 0 
12.83275 94825 8998.783997 78125 1 109937 1.4071936 870161 11.1380608 0.506 0 
12.832625 94825 8998.783997 78104 -1 132689 1.698875858 869631 11.13426969 0.505 0 
12.832375 94826 8998.783997 78135 3 185711 2.37679657 870386 11.13951494 0.505 0 
12.83225 94827 8998.783997 78122 -7 215007 2.752195284 869895 11.13508359 0.506 0 
12.832 94827 8998.783997 78156 5 267844 3.427043349 869786 11.12884487 0.506 0 
12.83175 94828 8998.783997 78051 2 312420 4.002767421 869125 11.1353474 0.505 0 
12.831625 94829 8998.783997 78089 2 326534 4.181562064 868813 11.12593323 0.506 0 
12.831375 94829 8998.783997 78085 0 337812 4.326208619 868711 11.1251969 0.506 0 
12.83125 94830 8998.783997 78054 -2 334101 4.280382812 869051 11.13397135 0.505 0 
12.831 94831 8998.783997 78105 -4 311391 3.986825427 869260 11.12937712 0.505 0 
12.83075 94831 8998.783997 78101 4 269452 3.450045454 869772 11.13650273 0.506 0 
12.830625 94832 8998.783997 78084 1 243994 3.124763076 869282 11.13265202 0.505 0 
12.830375 94833 8998.783997 78116 1 187248 2.39705054 869774 11.13438988 0.505 0 
12.83025 94833 8998.783997 78095 1 160502 2.055214802 869543 11.13442602 0.506 0 
12.83 94834 8998.783997 78108 3 110453 1.414106109 869641 11.13382752 0.505 0 
12.82975 94835 8998.783997 78087 -2 72435 0.927619194 870131 11.1430968 0.506 0 
12.829625 94835 8998.783997 78076 -4 58218 0.7456580767 869865 11.1412598 0.506 0 
12.829375 94836 8998.783997 78073 0 38989 0.499391595 870030 11.14380131 0.506 0 
12.82925 94837 8998.783997 78076 -2 32742 0.419360623 869802 11.14045289 0.506 0 
12.829 94837 8998.783997 78084 2 24181 0.3096793197 870219 11.14465191 0.506 0 
12.82875 94838 8998.783997 78092 -1 18957 0.2427521385 870553 11.14778723 0.506 0 
12.828625 94839 8998.783997 78065 -3 16936 0.2169474156 870085 11.14564786 0.506 0 
12.828375 94840 8998.783997 78084 -3 14204 0.1819066646 870003 11.14188566 0.506 0 
12.82825 94840 8998.783997 78092 1 13042 0.1670081442 870883 11.15201301 0.506 0 
12.828 94841 8998.783997 78106 -2 11188 0.1432412363 870104 11.14004046 0.505 0 
12.82775 94842 8998.783997 78087 -3 9684 0.1240155211 870001 11.14143199 0.506 0 
12.827625 94842 8998.783997 78089 0 9330 0.1194790559 870068 11.14200464 0.506 0 
12.827375 94843 8998.783997 78128 -4 8416 0.1077206635 869955 11.13499642 0.505 0 
12.82725 94844 8998.783997 78089 -4 7962 0.1019605834 870072 11.14205586 0.506 0 
12.827 94844 8998.783997 78074 3 7254 0.09291185286 869747 11.14003381 0.505 0 
12.82675 94845 8998.783997 78095 5 6716 0.08599782316 870247 11.14344068 0.505 0 
12.826625 94846 8998.783997 78080 1 6546 0.08383709016 869251 11.13282531 0.506 0 
12.826375 94846 8998.783997 78048 2 6183 0.0792204797 869774 11.14409082 0.505 0 
12.82625 94847 8998.783997 78056 2 5890 0.07545864508 869940 11.14507533 0.506 0 
12.826 94848 8998.783997 78058 -1 5557 0.0711906531 869771 11.14262471 0.506 0 
12.82575 94848 8998.783997 78080 2 5363 0.06868596311 870480 11.14856557 0.506 0 
12.825625 94849 8998.783997 78044 -1 5181 0.06638562862 869639 11.14293219 0.505 0 
12.825375 94850 8998.783997 78062 -4 5031 0.06444877149 870107 11.14635802 0.506 0 
12.82525 94850 8998.783997 78073 0 4870 0.06237751848 869897 11.14209778 0.505 0 
12.825 94851 8998.783997 78059 -4 4668 0.05980091982 869844 11.14341716 0.506 0 
12.82475 94852 8998.783997 78063 0 4567 0.0585040288 869388 11.13700473 0.505 0 
12.824625 94852 8998.783997 78035 -1 4469 0.05726917409 869955 11.1482668 0.506 0 
12.824375 94853 8998.783997 78056 -7 4412 0.05652352157 869681 11.1417572 0.505 0 
12.82425 94854 8998.783997 78010 4 4326 0.05545442892 870027 11.15276247 0.505 0 
12.824 94854 8998.783997 78033 -5 4298 0.05507926134 869181 11.13863365 0.505 0 
