theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.846 94343 8996.460067 80130 3 3224 0.04023461874 818691 10.21703482 0.505 0 
12.84575 94344 8996.460067 80145 4 3214 0.04010231455 818676 10.21493543 0.506 0 
12.845625 94344 8996.460067 80150 -4 3273 0.04083593263 819344 10.22263256 0.506 0 
12.845375 94345 8996.460067 80150 0 3281 0.04093574548 818859 10.21658141 0.505 0 
12.84525 94346 8996.460067 80141 1 3390 0.04230044546 819343 10.22376811 0.505 0 
12.845 94346 8996.460067 80199 2 3349 0.04175862542 819659 10.22031447 0.505 0 
12.84475 94347 8996.460067 80145 -2 3364 0.04197392227 819669 10.22732547 0.506 0 
12.844625 94348 8996.460067 80185 -3 3463 0.04318762861 819433 10.21928041 0.506 0 
12.844375 94348 8996.460067 80198 0 3530 0.04401606025 819828 10.22254919 0.506 0 
12.84425 94349 8996.460067 80148 -1 3533 0.04408095024 819639 10.22656835 0.505 0 
12.844 94350 8996.460067 80153 1 3485 0.04347934575 819153 10.219867 0.506 0 
12.84375 94350 8996.460067 80157 -4 3518 0.0438888681 819670 10.22580685 0.505 0 
12.843625 94351 8996.460067 80127 1 3641 0.04544036342 818859 10.21951402 0.505 0 
12.843375 94352 8996.460067 80139 -1 3668 0.0457704738 819581 10.2269931 0.505 0 
12.84325 94352 8996.460067 80110 0 3732 0.04658594433 819244 10.22648858 0.505 0 
12.843 94353 8996.460067 80145 -2 3673 0.04582943415 819878 10.22993325 0.505 0 
12.84275 94354 8996.460067 80141 -2 3823 0.04770342272 819691 10.22811046 0.505 0 
12.842625 94354 8996.460067 80128 -1 3959 0.04940844649 819452 10.22678714 0.506 0 
12.842375 94355 8996.460067 80137 4 3990 0.04978973508 819901 10.2312415 0.506 0 
12.84225 94356 8996.460067 80157 -1 3971 0.04954027721 819756 10.22687975 0.505 0 
12.842 94356 8996.460067 80145 3 4145 0.05171875975 819265 10.22228461 0.505 0 
12.84175 94357 8996.460067 80116 -1 4292 0.05357232014 819639 10.23065305 0.506 0 
12.841625 94358 8996.460067 80112 0 4560 0.05692031156 819896 10.23437188 0.505 0 
12.841375 94358 8996.460067 80136 -1 4525 0.05646650694 819748 10.22945992 0.505 0 
12.84125 94359 8996.460067 80160 -1 4636 0.05783433134 819751 10.22643463 0.506 0 
