theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.84925 93968 8994.524399 81911 0 3377 0.04122767394 771268 9.415927043 0.505 0 
12.849 93969 8994.524399 81917 -1 3345 0.04083401492 770921 9.411001379 0.506 0 
12.84875 93969 8994.524399 81932 1 3344 0.04081433384 771974 9.422130547 0.506 0 
12.848625 93970 8994.524399 81912 5 3540 0.04321711105 771244 9.415519094 0.506 0 
12.848375 93971 8994.524399 81943 -3 3592 0.04383534896 771474 9.414763921 0.505 0 
12.84825 93971 8994.524399 81903 1 3529 0.04308755479 771240 9.41650489 0.507 0 
12.848 93972 8994.524399 81876 2 3493 0.04266207436 771088 9.417753676 0.505 0 
12.84775 93973 8994.524399 81907 -1 3693 0.04508772144 771664 9.421221629 0.506 0 
12.847625 93973 8994.524399 81900 -1 3844 0.04693528694 771745 9.423015873 0.505 0 
12.847375 93974 8994.524399 81879 4 3840 0.04689847214 770937 9.41556443 0.506 0 
12.84725 93975 8994.524399 81863 -1 3860 0.04715194899 771266 9.421423598 0.506 0 
12.847 93975 8994.524399 81897 -2 3913 0.04777952794 770433 9.407340928 0.505 0 
12.84675 93976 8994.524399 81917 -2 4054 0.04948911703 770718 9.408523261 0.505 0 
12.846625 93977 8994.524399 81893 0 4111 0.05019965076 771236 9.4176059 0.505 0 
12.846375 93977 8994.524399 81909 0 4222 0.05154500726 771225 9.415631982 0.505 0 
12.84625 93978 8994.524399 81901 -5 4217 0.05148899281 771470 9.419543107 0.506 0 
12.846 93979 8994.524399 81882 1 4303 0.05255123226 770857 9.414242446 0.506 0 
12.84575 93979 8994.524399 81876 2 4576 0.05588939372 771060 9.417411696 0.506 0 
12.845625 93980 8994.524399 81848 -2 4605 0.05626282866 771223 9.422624866 0.505 0 
12.845375 93981 8994.524399 81845 -1 4738 0.05788991386 771003 9.420282241 0.506 0 
12.84525 93981 8994.524399 81874 -3 4748 0.05799154799 770820 9.414710409 0.506 0 
12.845 93982 8994.524399 81923 -1 5074 0.06193620839 770985 9.411093344 0.506 0 
12.84475 93983 8994.524399 81866 5 5391 0.06585151345 770720 9.414408912 0.506 0 
12.844625 93983 8994.524399 81838 1 5407 0.06606955204 771279 9.42446052 0.506 0 
12.844375 93984 8994.524399 81837 -1 5835 0.07130026761 770708 9.417598397 0.505 0 
12.84425 93985 8994.524399 81867 0 5890 0.07194596113 771485 9.42363834 0.506 0 
12.844 93985 8994.524399 81885 -1 6453 0.07880564206 771493 9.42166453 0.505 0 
12.84375 93986 8994.524399 81868 -1 7128 0.08706698588 771143 9.419345776 0.506 0 
12.843625 93987 8994.524399 81848 3 7525 0.09193871567 770960 9.419411592 0.506 0 
12.843375 93987 8994.524399 81889 0 8415 0.1027610546 770784 9.412546252 0.506 0 
12.84325 93988 8994.524399 81824 -3 8997 0.1099555143 771284 9.426134142 0.505 0 
12.843 93989 8994.524399 81836 3 10697 0.1307126448 770888 9.419912997 0.506 0 
12.84275 93990 8994.524399 81846 1 12638 0.1544119444 771514 9.426410576 0.506 0 
12.842625 93990 8994.524399 81846 2 13573 0.165835838 770907 9.418994209 0.506 0 
12.842375 93991 8994.524399 81857 -1 16373 0.2000195463 770970 9.418498113 0.506 0 
12.84225 93992 8994.524399 81867 -4 18052 0.2205039882 771005 9.417775172 0.506 0 
12.842 93992 8994.524399 81822 3 21606 0.2640610105 771297 9.426523429 0.506 0 
12.84175 93993 8994.524399 81803 -3 26520 0.3241934892 770933 9.424263169 0.506 0 
12.841625 93994 8994.524399 81840 -4 29337 0.3584677419 770127 9.410153959 0.506 0 
12.841375 93994 8994.524399 81835 2 36806 0.4497586607 770297 9.412806256 0.505 0 
12.84125 93995 8994.524399 81790 0 41810 0.5111871867 771532 9.433084729 0.506 0 
12.841 93996 8994.524399 81821 0 54050 0.6605883575 770184 9.413035773 0.506 0 
12.84075 93996 8994.524399 81839 -3 72924 0.8910666064 770818 9.41871235 0.506 0 
12.840625 93997 8994.524399 81808 1 86195 1.053625562 770775 9.421755819 0.506 0 
12.840375 93998 8994.524399 81803 0 123761 1.512915174 770620 9.420436903 0.506 0 
12.84025 93998 8994.524399 81829 2 151622 1.852912782 770012 9.410013565 0.505 0 
12.84 93999 8994.524399 81855 0 231162 2.824042514 770653 9.414855537 0.505 0 
12.83975 94000 8994.524399 81798 2 356544 4.358835179 768956 9.400669943 0.505 0 
12.839625 94000 8994.524399 81834 -4 440407 5.381711758 768332 9.388909255 0.505 0 
12.839375 94001 8994.524399 81786 5 624807 7.639534884 767416 9.383219622 0.506 0 
12.83925 94002 8994.524399 81811 0 718654 8.784319957 766792 9.372724939 0.506 0 
12.839 94002 8994.524399 81779 1 886218 10.83674293 765656 9.362501376 0.505 0 
12.83875 94003 8994.524399 81774 1 1006081 12.30318928 764091 9.343935725 0.506 0 
12.838625 94004 8994.524399 81787 4 1034877 12.65331899 764256 9.344467947 0.506 0 
12.838375 94004 8994.524399 81822 -4 1023285 12.50623304 764112 9.33871086 0.506 0 
12.83825 94005 8994.524399 81805 9 986791 12.06272233 764145 9.341054948 0.505 0 
12.838 94006 8994.524399 81826 2 875566 10.70033975 764044 9.337423313 0.505 0 
12.83775 94006 8994.524399 81766 -3 721732 8.826798425 764812 9.353667784 0.506 0 
12.837625 94007 8994.524399 81764 -1 637348 7.794970892 764954 9.355633286 0.505 0 
12.837375 94008 8994.524399 81764 1 471705 5.769103762 766102 9.369673695 0.505 0 
12.83725 94008 8994.524399 81736 -1 391209 4.786250856 765729 9.368319957 0.506 0 
12.837 94009 8994.524399 81698 -1 254030 3.109378443 766412 9.381037479 0.506 0 
12.83675 94010 8994.524399 81674 2 152305 1.864791733 766964 9.390552685 0.506 0 
12.836625 94011 8994.524399 81633 3 117688 1.441671873 767249 9.398760305 0.505 0 
12.836375 94011 8994.524399 81662 -1 72305 0.8854179422 767516 9.39869217 0.505 0 
12.83625 94012 8994.524399 81602 3 58162 0.7127521384 766976 9.398985319 0.506 0 
12.836 94013 8994.524399 81589 3 40453 0.4958143867 767538 9.407371092 0.506 0 
12.83575 94013 8994.524399 81569 -1 30116 0.3692088906 766829 9.400985669 0.506 0 
12.835625 94014 8994.524399 81578 -2 26349 0.3229914928 767913 9.413236412 0.506 0 
12.835375 94015 8994.524399 81551 0 20754 0.2544910547 767384 9.409866219 0.505 0 
12.83525 94015 8994.524399 81562 4 18628 0.2283906721 767577 9.410963439 0.505 0 
12.835 94016 8994.524399 81532 -2 15657 0.1920350292 767806 9.417234951 0.506 0 
12.83475 94017 8994.524399 81546 -1 13142 0.1611605719 766809 9.403391951 0.506 0 
12.834625 94017 8994.524399 81529 -1 12182 0.1494192251 767253 9.410798612 0.505 0 
12.834375 94018 8994.524399 81581 -1 10527 0.1290373984 767472 9.407484586 0.505 0 
12.83425 94019 8994.524399 81516 -1 9963 0.1222214044 767230 9.412017273 0.506 0 
12.834 94019 8994.524399 81486 -1 8955 0.1098961785 767166 9.414697003 0.506 0 
12.83375 94020 8994.524399 81554 -1 8024 0.09838879761 768072 9.417956201 0.506 0 
12.833625 94021 8994.524399 81544 3 7660 0.0939370156 767312 9.409791033 0.505 0 
12.833375 94021 8994.524399 81531 -1 6983 0.08564840367 767385 9.412186776 0.506 0 
12.83325 94022 8994.524399 81530 4 6668 0.0817858457 767366 9.412069177 0.505 0 
12.833 94023 8994.524399 81515 3 6356 0.07797337913 767174 9.411445746 0.506 0 
12.83275 94023 8994.524399 81522 -2 5838 0.07161257084 766450 9.401756581 0.505 0 
12.832625 94024 8994.524399 81488 2 5612 0.06886903593 767167 9.414478205 0.505 0 
12.832375 94025 8994.524399 81493 -1 5305 0.06509761575 767015 9.41203539 0.505 0 
12.83225 94025 8994.524399 81553 1 5287 0.0648290069 767289 9.408470565 0.506 0 
12.832 94026 8994.524399 81488 0 4951 0.06075741213 766976 9.412134302 0.506 0 
12.83175 94027 8994.524399 81530 1 4792 0.05877591071 767152 9.409444376 0.506 0 
12.831625 94027 8994.524399 81495 1 4658 0.05715688079 766847 9.409742929 0.506 0 
12.831375 94028 8994.524399 81482 0 4493 0.05514101274 767882 9.423946393 0.505 0 
12.83125 94029 8994.524399 81483 0 4500 0.05522624351 767478 9.418872648 0.506 0 
12.831 94029 8994.524399 81523 -3 4237 0.05197306282 767424 9.413588803 0.505 0 
12.83075 94030 8994.524399 81452 -6 4088 0.05018906841 767085 9.417632471 0.505 0 
12.830625 94031 8994.524399 81487 3 4006 0.0491612159 767713 9.421294194 0.506 0 
12.830375 94031 8994.524399 81477 0 4059 0.04981773998 766800 9.411244891 0.506 0 
12.83025 94032 8994.524399 81454 1 4000 0.0491074717 767238 9.419279593 0.505 0 
12.83 94033 8994.524399 81475 2 3913 0.04802700215 767154 9.415820804 0.506 0 
12.82975 94033 8994.524399 81455 2 3725 0.04573077159 767356 9.420612608 0.506 0 
12.829625 94034 8994.524399 81475 1 3717 0.04562135624 766875 9.412396441 0.505 0 
12.829375 94035 8994.524399 81519 -2 3724 0.0456826016 767081 9.409843104 0.506 0 
12.82925 94036 8994.524399 81492 -6 3668 0.04501055318 767349 9.416249448 0.505 0 

