theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.862 92382 8986.40391 77482 -4 419 0.005407707597 208301 2.688379236 0.506 0 
12.86175 92382 8986.40391 77484 -2 432 0.005575344587 212131 2.737739404 0.506 0 
12.861625 92383 8986.40391 77423 -3 436 0.005631401522 214139 2.765831859 0.506 0 
12.861375 92384 8986.40391 77500 -1 405 0.005225806452 217500 2.806451613 0.505 0 
12.86125 92384 8986.40391 77481 2 407 0.005252900711 219488 2.832797718 0.506 0 
12.861 92385 8986.40391 77494 -2 384 0.00495522234 222982 2.877409864 0.506 0 
12.86075 92386 8986.40391 77481 3 347 0.004478517314 226906 2.928537319 0.506 0 
12.860625 92386 8986.40391 77486 2 352 0.004542756111 228890 2.953952972 0.505 0 
12.860375 92387 8986.40391 77466 -1 397 0.005124828957 232631 3.003007771 0.506 0 
12.86025 92388 8986.40391 77482 -1 424 0.005472238714 234558 3.027257944 0.506 0 
12.86 92388 8986.40391 77475 2 370 0.004775734108 237438 3.064704743 0.506 0 
12.85975 92389 8986.40391 77479 3 372 0.004801300998 240910 3.109358665 0.506 0 
12.859625 92390 8986.40391 77465 0 370 0.00477635061 241869 3.122300394 0.5 0 
12.859375 92390 8986.40391 77446 -4 342 0.004415980167 244570 3.157942308 0.506 0 
12.85925 92391 8986.40391 77423 2 520 0.006716350439 245336 3.168774137 0.506 0 
12.859 92392 8986.40391 77440 -1 458 0.005914256198 246881 3.188029442 0.505 0 
12.85875 92392 8986.40391 77477 -1 336 0.004336770913 248250 3.204176723 0.506 0 
12.858625 92393 8986.40391 77464 0 415 0.005357327275 248815 3.212008159 0.506 0 
12.858375 92394 8986.40391 77485 -7 482 0.006220558818 250053 3.227114925 0.505 0 
12.85825 92394 8986.40391 77441 2 485 0.00626283235 250465 3.234268669 0.506 0 
12.858 92395 8986.40391 77459 -1 443 0.00571915465 250964 3.239959204 0.505 0 
12.85775 92396 8986.40391 77445 -1 504 0.006507844277 251431 3.246574989 0.505 0 
12.857625 92396 8986.40391 77400 3 480 0.006201550388 251581 3.250400517 0.505 0 
12.857375 92397 8986.40391 77472 -2 530 0.00684118133 251938 3.251987815 0.506 0 
12.85725 92398 8986.40391 77444 -1 600 0.007747533702 251996 3.253912505 0.505 0 
12.857 92399 8986.40391 77408 2 612 0.00790615957 252352 3.260024804 0.505 0 
12.85675 92399 8986.40391 77396 -3 641 0.008282081761 251994 3.255904698 0.505 0 
12.856625 92400 8986.40391 77330 -4 655 0.008470192681 251960 3.25824389 0.505 0 
12.856375 92401 8986.40391 77320 -2 713 0.009221417486 251531 3.253116917 0.506 0 
12.85625 92401 8986.40391 77341 -2 760 0.009826612017 251896 3.256952974 0.505 0 
12.856 92402 8986.40391 77347 -2 801 0.01035592848 251586 3.252692412 0.505 0 
12.85575 92403 8986.40391 77402 0 900 0.01162760652 251338 3.247177076 0.506 0 
12.855625 92403 8986.40391 77401 -1 1054 0.01361739512 250993 3.242761721 0.506 0 
12.855375 92404 8986.40391 77428 4 1224 0.01580823475 250486 3.235082916 0.506 0 
12.85525 92405 8986.40391 77372 2 1255 0.01622033811 250082 3.232202864 0.505 0 
12.855 92405 8986.40391 77405 1 1541 0.01990827466 249670 3.225502229 0.506 0 
12.85475 92406 8986.40391 77373 -3 1985 0.02565494423 248539 3.212218733 0.505 0 
12.854625 92407 8986.40391 77411 2 2226 0.02875560321 247981 3.203433621 0.505 0 
12.854375 92407 8986.40391 77373 3 2883 0.03726106006 247229 3.195287762 0.506 0 
12.85425 92408 8986.40391 77424 6 3407 0.04400444307 246699 3.18633757 0.505 0 
12.854 92409 8986.40391 77402 1 4692 0.06061858867 245277 3.168871605 0.504 0 
12.85375 92409 8986.40391 77371 -3 6857 0.08862493699 243810 3.151180675 0.506 0 
12.853625 92410 8986.40391 77378 -2 8413 0.1087259945 243066 3.141280467 0.506 0 
12.853375 92411 8986.40391 77423 -2 13289 0.1716415019 241079 3.113790476 0.505 0 
12.85325 92411 8986.40391 77347 0 17332 0.2240810891 240334 3.107218121 0.505 0 
12.853 92412 8986.40391 77387 -2 28935 0.373900009 237994 3.075374417 0.506 0 
12.85275 92413 8986.40391 77374 -5 48711 0.6295525629 235811 3.047677514 0.505 0 
12.852625 92413 8986.40391 77398 -2 60235 0.778250084 234570 3.030698468 0.506 0 
12.852375 92414 8986.40391 77370 4 86962 1.123975701 231907 2.997376244 0.506 0 
12.85225 92415 8986.40391 77357 3 101129 1.307302507 230484 2.979484727 0.505 0 
12.852 92415 8986.40391 77358 -8 126766 1.638692831 227444 2.940148401 0.505 0 
12.85175 92416 8986.40391 77358 3 146153 1.889306859 224236 2.89867887 0.506 0 
12.851625 92417 8986.40391 77382 -2 151722 1.960688532 222462 2.874854617 0.506 0 
12.851375 92417 8986.40391 77379 0 154910 2.001964357 218515 2.823957404 0.506 0 
12.85125 92418 8986.40391 77373 0 152210 1.967223709 216195 2.794191772 0.506 0 
12.851 92419 8986.40391 77374 0 139668 1.805102489 212493 2.74631013 0.506 0 
12.85075 92419 8986.40391 77329 3 117353 1.517580727 208695 2.698793467 0.506 0 
12.850625 92420 8986.40391 77348 3 105062 1.358302736 208260 2.692506594 0.506 0 
12.850375 92421 8986.40391 77379 -2 75393 0.9743341217 206288 2.665942956 0.506 0 
12.85025 92421 8986.40391 77344 2 61246 0.7918649152 204925 2.649526789 0.506 0 
12.85 92422 8986.40391 77329 1 37479 0.4846693996 202460 2.618163949 0.506 0 
12.84975 92423 8986.40391 77339 2 21649 0.2799234539 199255 2.576384489 0.505 0 
12.849625 92423 8986.40391 77340 -4 16697 0.2158908715 197283 2.550853375 0.506 0 
12.849375 92424 8986.40391 77314 1 10938 0.1414750239 193714 2.505548801 0.506 0 
12.84925 92425 8986.40391 77328 1 9229 0.1193487482 191917 2.481856507 0.505 0 
12.849 92425 8986.40391 77293 0 6922 0.08955532843 188810 2.442782658 0.505 0 
12.84875 92426 8986.40391 77319 0 5312 0.0687023888 186421 2.411063257 0.506 0 
12.848625 92427 8986.40391 77320 2 4799 0.06206673564 185592 2.400310398 0.506 0 
12.848375 92427 8986.40391 77330 1 3945 0.05101512996 183344 2.370929781 0.506 0 
12.84825 92428 8986.40391 77315 -5 3546 0.04586432128 182818 2.364586432 0.506 0 
12.848 92429 8986.40391 77304 -1 3049 0.03944168478 181372 2.346217531 0.506 0 
12.84775 92429 8986.40391 77268 4 2580 0.03339027799 180001 2.329567221 0.506 0 
12.847625 92430 8986.40391 77275 -4 2407 0.03114849563 179558 2.323623423 0.506 0 
12.847375 92431 8986.40391 77288 2 2164 0.02799917193 178595 2.310772694 0.505 0 
12.84725 92431 8986.40391 77303 -3 2040 0.02638966146 178260 2.305990712 0.506 0 
12.847 92432 8986.40391 77286 0 1796 0.02323836141 177542 2.297207774 0.506 0 
12.84675 92433 8986.40391 77258 -1 1567 0.02028268917 176968 2.290610681 0.506 0 
12.846625 92433 8986.40391 77295 0 1405 0.01817711366 176593 2.284662656 0.505 0 
12.846375 92434 8986.40391 77271 -1 1327 0.01717332505 176118 2.279225065 0.506 0 
12.84625 92435 8986.40391 77257 -1 1208 0.01563612359 175514 2.271820029 0.505 0 
12.846 92435 8986.40391 77286 5 1062 0.01374116916 175494 2.270708796 0.506 0 
