theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.84475 94493 8997.234573 79490 1 3408 0.0428733174 851964 10.71787646 0.505 0 
12.844625 94494 8997.234573 79481 -2 3353 0.04218618286 851548 10.71385614 0.505 0 
12.844375 94494 8997.234573 79497 -5 3332 0.04191353133 851791 10.71475653 0.505 0 
12.84425 94495 8997.234573 79489 2 3412 0.04292417819 851132 10.70754444 0.505 0 
12.844 94496 8997.234573 79472 4 3540 0.04454399034 851632 10.71612643 0.505 0 
12.84375 94496 8997.234573 79488 -3 3578 0.04501308374 851355 10.7104846 0.505 0 
12.843625 94497 8997.234573 79472 -1 3492 0.04394000403 851397 10.71316942 0.505 0 
12.843375 94498 8997.234573 79472 0 3501 0.04405325146 851196 10.71064023 0.505 0 
12.84325 94498 8997.234573 79535 2 3543 0.0445464261 851123 10.70123845 0.505 0 
12.843 94499 8997.234573 79514 5 3592 0.04517443469 851191 10.70491989 0.506 0 
12.84275 94500 8997.234573 79469 1 3605 0.0453636009 851819 10.71888409 0.506 0 
12.842625 94500 8997.234573 79478 1 3617 0.04550944916 851752 10.7168273 0.506 0 
12.842375 94501 8997.234573 79504 -2 3597 0.04524300664 851768 10.71352385 0.506 0 
12.84225 94502 8997.234573 79472 1 3671 0.04619236964 851987 10.72059342 0.506 0 
12.842 94502 8997.234573 79442 4 3709 0.04668814985 851918 10.72377332 0.506 0 
12.84175 94503 8997.234573 79496 -2 3818 0.04802757371 851608 10.71258931 0.505 0 
12.841625 94504 8997.234573 79482 1 3828 0.04816184797 850920 10.70582019 0.505 0 
12.841375 94504 8997.234573 79456 -5 3881 0.04884464358 851809 10.72051198 0.505 0 
12.84125 94505 8997.234573 79413 -3 3974 0.05004218453 851660 10.72444058 0.505 0 
12.841 94506 8997.234573 79481 -5 4122 0.05186145116 851773 10.71668701 0.506 0 
12.84075 94506 8997.234573 79492 1 4173 0.05249584864 851300 10.70925376 0.506 0 
12.840625 94507 8997.234573 79485 -1 4067 0.05116688683 851751 10.71587092 0.506 0 
12.840375 94508 8997.234573 79470 -3 4329 0.05447338618 851647 10.71658487 0.506 0 
12.84025 94508 8997.234573 79471 -1 4405 0.05542902442 851826 10.71870242 0.506 0 
12.84 94509 8997.234573 79448 2 4568 0.05749672742 851598 10.71893566 0.506 0 
12.83975 94510 8997.234573 79447 3 4709 0.05927221922 851353 10.71598676 0.506 0 
12.839625 94510 8997.234573 79468 0 4819 0.06064076106 851640 10.7167665 0.506 0 
12.839375 94511 8997.234573 79445 -2 5168 0.06505129335 851719 10.72086349 0.506 0 
12.83925 94512 8997.234573 79453 1 5338 0.06718437315 852049 10.72393742 0.505 0 
12.839 94512 8997.234573 79439 -1 5869 0.07388058762 851853 10.72336006 0.505 0 
12.83875 94513 8997.234573 79441 2 6493 0.08173361363 852360 10.72947219 0.506 0 
12.838625 94514 8997.234573 79448 5 7045 0.08867435304 851135 10.71310794 0.506 0 
12.838375 94515 8997.234573 79497 -1 7932 0.09977735009 851661 10.71312125 0.506 0 
12.83825 94515 8997.234573 79417 -1 8434 0.1061989247 851539 10.72237682 0.506 0 
12.838 94516 8997.234573 79430 1 9677 0.1218305426 851853 10.7245751 0.506 0 
12.83775 94517 8997.234573 79411 -2 11285 0.1421087759 851530 10.72307363 0.505 0 
12.837625 94517 8997.234573 79447 0 12254 0.1542411922 851476 10.71753496 0.506 0 
12.837375 94518 8997.234573 79406 -1 14061 0.1770772989 851483 10.72315694 0.506 0 
12.83725 94519 8997.234573 79425 5 15364 0.1934403525 851681 10.72308467 0.506 0 
12.837 94519 8997.234573 79426 1 18188 0.228993025 851151 10.71627679 0.507 0 
12.83675 94520 8997.234573 79438 -7 22209 0.2795765251 851651 10.72095219 0.506 0 
12.836625 94521 8997.234573 79411 -2 24525 0.3088363073 851707 10.72530254 0.506 0 
12.836375 94521 8997.234573 79438 0 31141 0.3920164153 851981 10.72510637 0.505 0 
12.83625 94522 8997.234573 79391 1 35263 0.4441687345 851406 10.72421307 0.506 0 
12.836 94523 8997.234573 79421 -4 46929 0.5908890596 851711 10.72400247 0.505 0 
12.83575 94523 8997.234573 79401 2 65449 0.8242843289 851403 10.72282465 0.506 0 
12.835625 94524 8997.234573 79418 3 78168 0.9842604951 851591 10.72289657 0.505 0 
12.835375 94525 8997.234573 79403 0 114298 1.439467023 851275 10.72094253 0.506 0 
12.83525 94525 8997.234573 79432 -4 137430 1.73015913 851600 10.72111995 0.505 0 
12.835 94526 8997.234573 79435 -4 191975 2.416755838 850410 10.70573425 0.506 0 
12.83475 94527 8997.234573 79406 2 246479 3.10403496 850525 10.71109236 0.505 0 
12.834625 94527 8997.234573 79384 2 271845 3.424430616 850146 10.70928651 0.506 0 
12.834375 94528 8997.234573 79407 -1 310323 3.908005591 849883 10.70287254 0.505 0 
12.83425 94529 8997.234573 79339 -3 323117 4.07261246 849810 10.71112568 0.506 0 
12.834 94529 8997.234573 79338 0 326998 4.121581083 850118 10.71514281 0.505 0 
12.83375 94530 8997.234573 79383 2 308676 3.88843959 849603 10.70258116 0.5 0 
12.833625 94531 8997.234573 79343 -1 292576 3.687483458 849446 10.70599801 0.506 0 
12.833375 94531 8997.234573 79381 -1 252301 3.178355022 849252 10.6984291 0.505 0 
12.83325 94532 8997.234573 79331 2 228015 2.874223191 849875 10.71302517 0.506 0 
12.833 94533 8997.234573 79331 -1 179750 2.265822944 849507 10.70838638 0.506 0 
12.83275 94534 8997.234573 79361 -3 130379 1.642859843 850323 10.71462053 0.506 0 
12.832625 94534 8997.234573 79326 3 109226 1.376925598 850188 10.71764617 0.505 0 
12.832375 94535 8997.234573 79339 -5 71766 0.9045488347 849600 10.70847881 0.506 0 
12.83225 94536 8997.234573 79361 -1 57551 0.7251798742 850706 10.71944658 0.506 0 
12.832 94536 8997.234573 79330 -1 38488 0.4851632422 850700 10.72355981 0.506 0 
12.83175 94537 8997.234573 79353 1 26938 0.3394704674 850602 10.71921666 0.505 0 
12.831625 94538 8997.234573 79283 0 23136 0.2918153955 849712 10.71745519 0.505 0 
12.831375 94538 8997.234573 79314 -1 18053 0.2276142926 850345 10.72124719 0.506 0 
12.83125 94539 8997.234573 79288 2 16331 0.2059706387 850055 10.72110534 0.506 0 
12.831 94540 8997.234573 79308 -1 13564 0.1710294043 850033 10.71812427 0.506 0 
12.83075 94540 8997.234573 79314 3 11472 0.1446402905 851103 10.73080415 0.506 0 
12.830625 94541 8997.234573 79295 -2 10678 0.1346617063 850073 10.7203859 0.506 0 
12.830375 94542 8997.234573 79337 0 9499 0.1197297604 850262 10.71709291 0.506 0 
12.83025 94542 8997.234573 79280 4 8922 0.1125378406 849278 10.71238648 0.505 0 
12.83 94543 8997.234573 79281 0 7913 0.09980953822 850712 10.73033892 0.505 0 
12.82975 94544 8997.234573 79274 1 7168 0.09042056664 850413 10.7275147 0.506 0 
12.829625 94544 8997.234573 79279 -1 7028 0.08864894865 850168 10.72374778 0.505 0 
12.829375 94545 8997.234573 79268 0 6324 0.07977998688 849715 10.71952112 0.506 0 
12.82925 94546 8997.234573 79278 3 6089 0.07680567118 850806 10.73193067 0.506 0 
12.829 94546 8997.234573 79311 3 5612 0.07075941547 850037 10.71776929 0.505 0 
12.82875 94547 8997.234573 79287 1 5269 0.06645477821 850268 10.723927 0.506 0 
12.828625 94548 8997.234573 79272 -2 5148 0.06494096276 850377 10.72733121 0.506 0 
12.828375 94548 8997.234573 79265 1 4890 0.06169179335 850082 10.72455687 0.506 0 
12.82825 94549 8997.234573 79239 1 4661 0.0588220447 849958 10.72651094 0.506 0 
12.828 94550 8997.234573 79259 0 4449 0.0561324266 850491 10.73052903 0.506 0 
12.82775 94550 8997.234573 79249 0 4313 0.05442339966 850424 10.73103762 0.505 0 
12.827625 94551 8997.234573 79261 -2 4318 0.05447824277 849994 10.72398784 0.506 0 
12.827375 94552 8997.234573 79235 3 4195 0.05294377485 850614 10.73533161 0.506 0 
12.82725 94552 8997.234573 79242 1 4152 0.05239645642 849952 10.72602913 0.506 0 
12.827 94553 8997.234573 79265 3 3976 0.05016085284 850511 10.72996909 0.506 0 
12.82675 94554 8997.234573 79239 4 4010 0.05060639332 849749 10.72387335 0.506 0 
12.826625 94555 8997.234573 79268 2 3885 0.04901095019 850065 10.72393652 0.506 0 
12.826375 94555 8997.234573 79289 -2 3775 0.04761063956 850388 10.72516995 0.506 0 
12.82625 94556 8997.234573 79262 -2 3766 0.04751331029 850266 10.7272842 0.506 0 
12.826 94557 8997.234573 79223 3 3799 0.0479532459 850437 10.7347235 0.506 0 
12.82575 94557 8997.234573 79239 -2 3680 0.04644177741 850131 10.7286942 0.506 0 
12.825625 94558 8997.234573 79257 2 3663 0.04621673795 849672 10.72046633 0.506 0 
12.825375 94559 8997.234573 79233 0 3645 0.04600355912 850028 10.72820668 0.506 0 
12.82525 94559 8997.234573 79226 4 3589 0.0453007851 849300 10.71996567 0.506 0 
12.825 94560 8997.234573 79249 -3 3582 0.04519930851 849851 10.72380724 0.506 0 
12.82475 94561 8997.234573 79186 -2 3612 0.04561412371 849588 10.72901776 0.506 0 

