theta  Epoch  Ene  I0  I04  If4  If4dI0  If3  If3dI0  Seconds  Ihor3  
12.859625 92691 8987.94951 81825 -3 502 0.006135044302 229388 2.803397495 0.505 0 
12.859375 92691 8987.94951 81866 0 560 0.006840446583 229281 2.800686488 0.504 0 
12.85925 92692 8987.94951 81850 -5 608 0.007428222358 229567 2.804728161 0.505 0 
12.859 92693 8987.94951 81836 3 605 0.007392834449 229554 2.805049123 0.505 0 
12.85875 92693 8987.94951 81794 1 608 0.007433308067 229967 2.811538744 0.505 0 
12.858625 92694 8987.94951 81805 -3 675 0.008251329381 229922 2.810610598 0.505 0 
12.858375 92695 8987.94951 81856 0 677 0.008270621579 229652 2.805560985 0.505 0 
12.85825 92695 8987.94951 81805 -4 684 0.008361347106 229856 2.809803802 0.505 0 
12.858 92696 8987.94951 81830 1 633 0.00773554931 230136 2.812367103 0.505 0 
12.85775 92697 8987.94951 81868 1 702 0.008574778912 230064 2.810182245 0.505 0 
12.857625 92697 8987.94951 81828 0 659 0.008053478027 230264 2.814000098 0.505 0 
12.857375 92698 8987.94951 81827 1 681 0.00832243636 230058 2.811516981 0.506 0 
12.85725 92699 8987.94951 81860 0 705 0.008612264842 230213 2.812277058 0.506 0 
12.857 92699 8987.94951 81825 -1 709 0.008664833486 230483 2.816779713 0.506 0 
12.85675 92700 8987.94951 81808 1 647 0.007908761979 230201 2.813917954 0.505 0 
12.856625 92701 8987.94951 81814 2 713 0.008714889872 230641 2.819089642 0.505 0 
12.856375 92701 8987.94951 81828 3 800 0.009776604585 230607 2.818191817 0.506 0 
12.85625 92702 8987.94951 81808 0 777 0.009497848621 230468 2.817181694 0.506 0 
12.856 92703 8987.94951 81812 -1 738 0.009020681563 230779 2.820845353 0.506 0 
12.85575 92703 8987.94951 81786 -1 743 0.00908468442 230839 2.822475729 0.506 0 
12.855625 92704 8987.94951 81778 1 870 0.01063855805 230865 2.823069774 0.506 0 
12.855375 92705 8987.94951 81792 -1 910 0.01112578247 230723 2.82085045 0.506 0 
12.85525 92705 8987.94951 81812 1 737 0.009008458417 231349 2.827812546 0.505 0 
12.855 92706 8987.94951 81798 -2 829 0.01013472212 231070 2.824885694 0.506 0 
12.85475 92707 8987.94951 81780 4 875 0.01069943752 231366 2.829126926 0.506 0 
12.854625 92707 8987.94951 81826 -2 948 0.0115855596 231454 2.828611933 0.505 0 
12.854375 92708 8987.94951 81814 -2 989 0.01208839563 231297 2.82710783 0.506 0 
12.85425 92709 8987.94951 81792 2 986 0.0120549687 231918 2.835460681 0.506 0 
12.854 92709 8987.94951 81779 3 1033 0.01263160469 232156 2.838821702 0.506 0 
12.85375 92710 8987.94951 81767 -5 1268 0.01550747857 232432 2.842613768 0.505 0 
12.853625 92711 8987.94951 81817 -3 1311 0.01602356478 232422 2.840754366 0.506 0 
12.853375 92711 8987.94951 81793 2 1482 0.01811890993 232560 2.843275097 0.505 0 
12.85325 92712 8987.94951 81749 0 1657 0.02026936109 232303 2.841661672 0.506 0 
12.853 92713 8987.94951 81781 1 1908 0.02333060246 233045 2.849622773 0.506 0 
12.85275 92713 8987.94951 81792 2 2240 0.02738654147 233534 2.855218114 0.506 0 
12.852625 92714 8987.94951 81796 -2 2561 0.03130959949 233206 2.851068512 0.506 0 
12.852375 92715 8987.94951 81770 -4 3050 0.03729974318 233755 2.858689006 0.506 0 
12.85225 92716 8987.94951 81755 1 3464 0.04237049722 233784 2.859568222 0.506 0 
12.852 92716 8987.94951 81710 -4 4415 0.05403255415 234051 2.864410721 0.505 0 
12.85175 92717 8987.94951 81771 2 5752 0.07034278656 234622 2.869256827 0.506 0 
12.851625 92718 8987.94951 81796 2 6767 0.08273020686 235130 2.874590445 0.506 0 
12.851375 92718 8987.94951 81738 -2 9573 0.1171181091 235575 2.882074433 0.506 0 
